"Gender","Name","First_name","doc_id","sentence_id","date","media"
0,"Laforest","Alain",202003121,42,"2020-03-12","TVA"
0,"Lacroix","Louis",202003121,61,"2020-03-12","cogeco"
0,"Dutrisac","Robert",202003121,81,"2020-03-12","Devoir"
0,"Pilon-Larose","Hugo",202003121,151,"2020-03-12","La Presse"
0,"Lecavalier","Charles",202003121,199,"2020-03-12","Journal de québec"
0,"Bossé","Olivier",202003121,233,"2020-03-12","Le soleil"
1,"Richer","Jocelyne",202003121,255,"2020-03-12","lapresse"
0,"Lavallée","Hugo",202003121,284,"2020-03-12","radio-canada"
1,"Lévesque","Fanny",202003121,310,"2020-03-12","lapresse"
1,"Crête","Mylène",202003121,334,"2020-03-12","Devoir"
0,"David","Michel",202003121,413,"2020-03-12","Devoir"
0,"Authier","Philip",202003121,430,"2020-03-12","Devoir"
0,"Zappa","Pierre-Olivier",202003131,86,"2020-03-13","TVA"
0,"Nadeau","Rémi",202003131,365,"2020-03-13","Journal de québec"
0,"Gagnon","Marc-André",202003131,388,"2020-03-13","Journal de québec"
0,"Béland","Gabriel",202003141,354,"2020-03-14","Le soleil"
0,"Bellerose","Patrick",202003151,90,"2020-03-15","Journal de québec"
1,"Sioui","Marie-Michèle",202003151,119,"2020-03-15","Devoir"
0,"Chouinard","Tommy",202003151,168,"2020-03-15","lapresse"
0,"Bovet","Sébastien",202003151,199,"2020-03-15","radio-canada"
0,"Dion","Mathieu",202003161,129,"2020-03-16","Devoir"
1,"Lamarche","Michelle",202003161,137,"2020-03-16","TVA"
0,"Bergeron","Patrice",202003161,224,"2020-03-16","La Presse"
1,"Porter","Isabelle",202003191,179,"2020-03-19","Devoir"
1,"Lajoie","Geneviève",202003191,229,"2020-03-19","Journal de québec"
0,"Boissonneault","Alex",202003211,189,"2020-03-21","radio-canada"
1,"Martin","Andrée",202003221,153,"2020-03-22","TVA"
0,"Bélair-Cirino","Marco",202003221,271,"2020-03-22","Devoir"
1,"Francoeur","dire",202004151,39,"2020-04-15","Devoir"
1,"Gamache","Valérie",202005131,152,"2020-05-13","radio-canada"
