"X","date","stringencyIndex","mean.stringencyIndex.week","stringencyPHM","mean.stringencyPHM.week"
1,"2020-03-01",0,0,0,0
2,"2020-03-02",0,0,0,0
3,"2020-03-03",0,0,0,0
4,"2020-03-04",0,0,0,0
5,"2020-03-05",0,0,0,0
6,"2020-03-06",0,0,0,0
7,"2020-03-07",0,0,0,0
8,"2020-03-08",0,0,0,0
9,"2020-03-09",0,0,0,0
10,"2020-03-10",0,0,0,0
11,"2020-03-11",0,18.5142857142857,0,18.5142857142857
12,"2020-03-12",3.6,18.5142857142857,3.6,18.5142857142857
13,"2020-03-13",11.9,18.5142857142857,11.9,18.5142857142857
14,"2020-03-14",20.2,18.5142857142857,20.2,18.5142857142857
15,"2020-03-15",31.3,18.5142857142857,31.3,18.5142857142857
16,"2020-03-16",31.3,18.5142857142857,31.3,18.5142857142857
17,"2020-03-17",31.3,18.5142857142857,31.3,18.5142857142857
18,"2020-03-18",31.3,43.5571428571429,31.3,43.5571428571429
19,"2020-03-19",31.3,43.5571428571429,31.3,43.5571428571429
20,"2020-03-20",31.3,43.5571428571429,31.3,43.5571428571429
21,"2020-03-21",36.1,43.5571428571429,36.1,43.5571428571429
22,"2020-03-22",58.3,43.5571428571429,58.3,43.5571428571429
23,"2020-03-23",58.3,43.5571428571429,58.3,43.5571428571429
24,"2020-03-24",58.3,43.5571428571429,58.3,43.5571428571429
25,"2020-03-25",58.3,63.1,58.3,63.1
26,"2020-03-26",58.3,63.1,58.3,63.1
27,"2020-03-27",58.3,63.1,58.3,63.1
28,"2020-03-28",66.7,63.1,66.7,63.1
29,"2020-03-29",66.7,63.1,66.7,63.1
30,"2020-03-30",66.7,63.1,66.7,63.1
31,"2020-03-31",66.7,63.1,66.7,63.1
32,"2020-04-01",75,75,75,75
33,"2020-04-02",75,75,75,75
34,"2020-04-03",75,75,75,75
35,"2020-04-04",75,75,75,75
36,"2020-04-05",75,75,75,75
37,"2020-04-06",75,75,75,75
38,"2020-04-07",75,75,75,75
39,"2020-04-08",75,75,75,75
40,"2020-04-09",75,75,75,75
41,"2020-04-10",75,75,75,75
42,"2020-04-11",75,75,75,75
43,"2020-04-12",75,75,75,75
44,"2020-04-13",75,75,75,75
45,"2020-04-14",75,75,75,75
46,"2020-04-15",75,75,75,75
47,"2020-04-16",75,75,75,75
48,"2020-04-17",75,75,75,75
49,"2020-04-18",75,75,75,75
50,"2020-04-19",75,75,75,75
51,"2020-04-20",75,75,75,75
52,"2020-04-21",75,75,75,75
53,"2020-04-22",75,75,75,75
54,"2020-04-23",75,75,75,75
55,"2020-04-24",75,75,75,75
56,"2020-04-25",75,75,75,75
