"group","doc_id","unique_phrase_id","sentences","date","evidence_proportion","avg_polarity","uncertainty_proportion"
1,202003141,"202003141_118","L'enjeu qui est discuté ici aussi, ça va être comment on fonctionne avec les touristes et les visiteurs, là. C'est sûr qu'en toute cohérence, si on demande à nos personnes chez nous de se mettre en isolement, ça soulève des questions par rapport à la question du tourisme non essentiel, je veux dire, là, par rapport à certaines exceptions. Ça, c'est en train d'être regardé, et notamment c'est aussi en lien avec le fédéral, comme l'a dit le premier ministre. Mme Blais (Prévost) : J'aimerais peut-être ajouter quelque chose parce que, quand on parle de visiteurs, il y a eu une chose très importante que le premier ministre a mentionnée tout à l'heure. On interdit les visites pour nos personnes âgées de 70 ans et plus et nos personnes vulnérables partout, partout où il y a des personnes âgées, et c'est parce qu'on les aime et qu'on veut les protéger qu'on fait ça. Parce que, quand on voit que ça affecte davantage les personnes de 70 ans et plus et de 80 ans et plus, je sais que ça va être difficile pour la population d'accepter ça, mais il faut réellement être en mesure d'agir, et c'est comme ça qu'on va être capable de contrer, par exemple, une crise qui pourrait survenir dans un endroit où il y a des personnes vulnérables. M. Arruda (Horacio) : Si vous me permettez, au-delà de cette consigne d'âge qui est associé à une augmentation de mortalité si on fait la maladie, toute personne qui a des maladies chroniques, toute personne qui a un problème d'immunosuppression ou qui est malade, même si elle est plus jeune, elle devrait commencer à penser à ne pas sortir si ce n'est pas essentiel. Parce que ce qu'on veut éviter, là, c'est que ces personnes-là soient exposées à des personnes qui seraient asymptomatiques ou au tout début de la maladie et qui pourraient les contaminer. C'est véritablement... On y va en disant... On y va par étapes, O.K.? Je pense qu'il faut voir que cette situation-là, elle peut évoluer, on l'a toujours dit, de jour en jour. On y va par étapes, mais il faut commencer. Dans les faits, nous, ce qu'on fait, c'est qu'on va contrôler ce qui est sous notre contrôle, et ça implique... Ce n'est pas parce qu'on est en CHSLD nécessairement que c'est pire qu'ailleurs, mais nous... Mme Blais (Prévost) : ...ou en résidence privée. M. Arruda (Horacio) : Il y a plein de gens âgés qui...",2020-03-14,0,-0.0102278749337573,0
1,202003181,"202003181_109","C'est le temps d'aller encore plus loin, et j'exhorte tous ceux qui entendent nos messages de faire leur possible. J'aimerais dire aussi, il faut arrêter aussi de fonctionner comme habituellement. Je vous donne un exemple, peut-être d'arrêter d'utiliser l'argent comptant, qui peut être contaminé. Prenez plutôt vos cartes de crédit et à débit. Faites-vous livrer des choses, si vous pouvez, plutôt, là, en termes de commandes, que de se déplacer, particulièrement quand on est une personne à risque. Puis, dans les faits, aussi, ce que je veux vous dire, c'est que je veux remercier tous les gens, toutes les personnes âgées qui font des sacrifices en écoutant nos consignes. On a tous besoin d'être proches de nos personnes qu'on aime. Moi, je suis séparé de ma famille, mais ce n'est pas le temps parce que, justement, ce comportement-là peut entraîner des contaminations. On peut contaminer quelqu'un sans le savoir, particulièrement si on est asymptomatique. Et les gens qui reviennent de voyage, je vous le dis, même si vous pensez que vous ne l'avez pas, c'est très important de s'auto-isoler. Si jamais vous avez des symptômes, allez consulter. N'allez pas contaminer nos personnes à risque. On ne le répétera pas assez. Aussi, ne pensez pas que les masques, c'est une solution miracle. C'est important. C'est l'étiquette respiratoire, si on est malade, pour ne pas contaminer les autres, et c'est l'hygiène des mains. Porter un masque, c'est mettre sa main souvent pour ajuster le masque, et on se contamine.",2020-03-18,0,0.00234441602728048,0
1,202003201,"202003201_177","Toutes les mesures qui ont été ordonnées et recommandées, là, il faut les appliquer. Ça, je trouve ça important parce que les gens focalisent beaucoup sur le test, les masques, etc., là. Je vous le dis, là, si vous voulez vous protéger, c'est ça. On a dit qu'on suivait la situation de jour en jour. Là, on en est à la suivre d'heure en heure. Puis, en fonction d'où on va être rendus au point de vue épidémiologique, on va tester en priorité certaines personnes. Prenons, par exemple... Quand on était dans une situation où il n'y avait aucune circulation ici, il fallait tester les gens qui avaient des voyageurs et des symptômes. Si vous êtes asymptomatique, il ne faut pas se présenter pour avoir le test. Et, à mesure que l'évolution va venir, on va cesser de faire certains tests parce que ce n'est plus nécessaire, mais on va aller vers une autre catégorie. Comme, actuellement, on va se mettre à tester les patients qui sont hospitalisés, même s'ils ne sont pas revenus de voyage, aux soins intensifs pour voir… parce qu'ils auraient pu l'attraper de quelqu'un qui n'est pas revenu de voyage, puis on va le savoir. On va commencer à tester les… On teste les professionnels de la santé qui sont symptomatiques, qui ont des symptômes, ils ne sont pas asymptomatiques, pour s'assurer qu'ils ne sont pas malades puis qu'ils ne vont pas transmettre la maladie dans les centres hospitaliers. Donc, les priorités de testage sont analysées avec nos experts en fonction d'où on est rendus. Ça fait qu'il va y avoir des variations. Vous vous souvenez, j'avais dit : Demandez-moi pas ce que j'ai dit hier par rapport à aujourd'hui, c'est un phénomène très dynamique. Et ces choix-là sont faits en fonction de l'utilité pour traiter les patients puis pour connaitre qu'est-ce qui est en train de se passer dans la population. C'est clair qu'avec une augmentation du nombre de tests on va détecter plus de cas. Ça ne veut pas dire qu'on détecte plus de cas puis qu'ils n'étaient pas... puis ça veut dire qu'il y a une grande augmentation subite, c'est qu'ils n'étaient, peut-être, là, pas encore détectés. Mais, jusqu'à maintenant, la situation est sous contrôle, mais on la suit de très près. Mais ce que les patients, ce que les gens peuvent faire pour nous aider le plus, c'est de respecter les consignes.",2020-03-20,0.0909090909090909,0.00144300144300145,0
1,202003261,"202003261_331","Donc, on s'aperçoit qu'il y a moins de patients hospitalisés, mais que le nombre de patients en soins intensifs est beaucoup plus important que ce qui était envisagé. Donc, est-ce que cette mesure-là vous inquiète et est-ce que vous avez revu certaines stratégies pour la prévenir? M. Arruda (Horacio) : Dans les faits, ce qu'on a prévu le plus, c'est de s'assurer d'avoir la capacité de traiter les patients aux soins intensifs, de ne pas se retrouver dans une situation difficile. Et l'autre élément, c'est que c'est normal qu'en début de situation, qu'on observe les cas plus sévères, parce qu'ils se rendent aux soins intensifs. Donc, il faut faire très attention aux calculs de proportion quand on est au début. C'est de valeur, là, mais... puis ça, ça a été vrai dans tous les scénarios qui ont été faits pour les maladies infectieuses, les débuts d'estimation sont excessivement difficiles parce qu'on n'a pas atteint la stabilité puis le nombre de choses... on n'a pas les données sur tous les cas qui existent dans la population, qui n'ont pas été... Il y a peut-être du monde bien asymptomatiques qui l'ont fait, ils ne s'en sont pas rendu compte. Donc, pour le moment, on surveille la chose, mais indépendamment de nos... Ce n'est pas de la projection qu'on cherche, c'est de s'assurer qu'on puisse traiter les patients adéquatement. Je ne sais pas si vous comprenez, là. Dans le fond, si on s'est trompé puis qu'on en a plus que ce qu'on prévoyait à cette date-là, ce n'est pas ça qui m'importe, c'est qu'on soit capable de les traiter. Mme Lévesque (Fanny) : En Ontario, la Santé publique tient un registre qui est publié, là, sur leur site. On a vraiment le détail du nombre de cas. Chaque cas est numéroté, on peut savoir le sexe, l'âge de la personne, le lieu de... pas de résidence, là, la ville exactement, mais la région ou à quelle direction régionale... elle est là.",2020-03-26,0.176470588235294,-0.00500210837022981,0
1,202004011,"202004011_148","Avant, quand il y avait un cas qui était un cas de maladie, il y avait un contact avec lui qui développait les symptômes, mais avant de dire que c'était un cas, on testait cette personne-là parce qu'on était au début. Maintenant, si les gens sont dans la même famille puis c'est un contact étroit, ce qu'on appelle un contact avec un lien épidémiologique, ça devient un cas confirmé pas par laboratoire, mais par lien épidémiologique. Il y a toute une série de cas actuellement qu'on n'aura pas besoin de tester parce que c'est correct, ça se fait continuellement, dans toutes les épidémies, comme tel. Donc, on ajuste ces priorités-là. Et ce sont les directeurs de santé publique qui, en fonction de leur territoire puis de leur épidémiologie… Elle peut être différente en Estrie, de Montréal, que sur la Côte-Nord. Donc, quelque part, on va avoir ce qu'on appelle maintenant une prescription de test en fonction de l'épidémiologie locale. Ça fait que ça, ça se travaille continuellement, comme tel. Et avec le temps aussi, là, on n'est pas là, là, mais, avec le temps, quand aura des tests, peut-être, commerciaux, qu'on peut avoir le résultat en 24 heures, on va peut-être même se mettre, tout dépendant où on va être dans la courbe, à tester du monde qui vont être asymptomatiques, mais qui, en somme, sont au début parce que, là, on veut voir s'il reste encore des foyers potentiels. Donc, c'est tout à fait normal, en fin de compte, que le traitement qu'on donne, ou le dépistage, ou les examens qu'on fait à notre population vont varier en fonction du stade de la maladie. Je pense que c'est un peu dans ce sens. Si vous me permettez, je vais vous faire une analogie avec la médecine, si quelqu'un a une maladie bien localisée, on va faire l'examen qui va faire son examen localisé. Si on pense que la personne a une maladie partout, on va faire des examens, des radiographies, des CAT scans ailleurs. C'est la même approche, mais en termes de tests de laboratoire. Le Modérateur : Maintenant, au tour d'Alain Laforest, TVA Nouvelles. M. Laforest (Alain) : M. le premier ministre, bonjour à vous. Vous avez dit tout à l'heure que c'était difficile de faire des prévisions par rapport à la pointe.",2020-04-01,0.294117647058824,-0.0184398552638591,0
1,202004021,"202004021_161","Est-ce que, par contre, la vague risque éventuellement d'arriver? Bien, il faut s'assurer qu'on soit prêts. Le Modérateur : Prochaine question, Marie-Michèle Sioui, Le Devoir. Mme Sioui (Marie-Michèle) : Oui. Bonjour à vous trois... Excusez, je cherchais ma question dans mon document. Les États-Unis ont commencé à tester tous les professionnels, ergothérapeutes, physiothérapeutes, etc. qui doivent se rendre dans plusieurs CHSLD en une journée. Il y a des employés ici, aussi, qui passent d'un CHSLD à l'autre, on en a parlé hier. Le CDC a aussi révélé qu'il y a des employés asymptomatiques qui peuvent être des vecteurs. Dans le contexte, est-ce que vous maintenez votre directive qui permet aux employés de retourner au travail après sept jours? Puis est-ce que ça ne serait pas le temps d'envisager des tests ou même des tests rapides dont vous avez déjà parlé, Dr Arruda? Mme McCann : Moi, je vais dire un mot puis je vais donner la parole à Dr Arruda par la suite. Mais ce qu'on a dit, ce qu'on décide de faire, là, actuellement, parce qu'on s'aperçoit, là, qu'il faut faire un effort additionnel, c'est de réorganiser le travail. Quand vous dites, là : Il y a des ergothérapeutes, des physiothérapeutes qui vont dans plusieurs résidences, on va essayer de concentrer dans une résidence le même personnel. Et on le fait maintenant, là, on est en train de réorganiser le travail pour justement diminuer le nombre de personnes qui sont en contact dans une résidence donnée. La situation que vous invoquez, où on a demandé à des gens de revenir au travail après sept jours, des gens qui sont asymptomatiques, c'est à la marge. Ce n'est pas fréquent qu'on fait ça. On fait ça dans des circonstances exceptionnelles où est-ce qu'on pourrait avoir un bris de service, qu'il n'y aurait pas de service du tout pour les personnes âgées. Et on met toutes les mesures de protection, hein : le masque, laver les mains, prendre la température deux fois par jour. Alors, ça, c'est très, très important. Mais, je redis, c'est exceptionnel qu'on le fait, et on est obligés de le faire dans certaines circonstances. Pour les tests, je vais... M. Arruda (Horacio) : Oui. Écoutez, votre question est bonne, mais il faut aussi oublier, là... pas oublier, mais comprendre qu'on utilise le test là où on pense qu'il va avoir le maximum d'effet. On l'a maintenu au début pour les voyageurs parce que c'était là qu'on avait des problèmes.",2020-04-02,0.0416666666666667,-0.0082972582972583,0
2,202004021,"202004021_244","Le problème, c'est : imaginez-vous une personne d'un certain âge qui est en bonne santé, mais qui revient dans une famille où il y a de la circulation, puis la personne est en train d'incuber la maladie. Je ne sais pas si vous comprenez ce que je veux dire. Tu sais, on se sent bien, on est en pleine forme, on dit : Maman, on s'en va te chercher, je ne sais pas si c'est pour aller au Saguenay ou à l'inverse, mettons : Bien, tu t'en reviens à Montréal avec nous autres, puis on va te garder. Quand la personne est en train d'incuber, je ne sais pas si vous comprenez, ça me met mal à l'aise. Si c'est quelqu'un de la Gaspésie qui va chercher quelqu'un à Rivière-du-Loup puis où il n'y a pas trop de circulation, j'ai comme un meilleur malaise. Le principe ici, là, c'est de protéger nos plus... Plus les gens vont être isolés, même de leurs familles, puis etc. Parce que ce n'est pas que la famille veut les infecter. Ils ne savent peut-être pas qu'ils sont asymptomatiques. Puis là on n'est plus dans des histoires de voyages, de gens qui reviennent de voyage. Il y a de la circulation intensive, mettons, dans la couronne autour de Montréal, O.K.? Ça fait que c'est pour ça qu'on dit : C'est mieux pas. Puis, l'autre élément que je tiens à vous dire, quand on vous permet... pas pour les gens qui sont en quarantaine et qui reviennent du voyage, là, mais, quand on vous permet d'aller prendre une marche, hein, à l'extérieur, ce n'est pas pour aller faire des réunions ensemble sur le perron ou dans un parc à deux, trois mètres de distance, prendre un café qu'on prenait chez Tim Hortons, avant, mais qu'on se redonne des rendez-vous. Si on commence à faire ça, la mesure ne marche plus, puis là on va dire, on va faire comme dans d'autres pays : Vous ne sortez plus pantoute. Vous avez une personne, une personne, de sortir comme tel... Puis il y a même des pays qui ont soudé des portes.",2020-04-02,0,-0.00877459254741202,0
1,202004031,"202004031_228","Idéalement, on veut en faire plus que moins. Donc, pas de rassemblement de groupes de personnes, même si vous respectez le deux mètres. Donc, évidemment, il y a une partie de jugement dans tout ça, mais quelqu'un qui, de façon intentionnelle, ne veut pas respecter les consignes, bien, oui, on a déjà commencé à donner des contraventions. Le Modérateur : Merci. Prochaine question, Patrice Bergeron, La Presse canadienne. M. Bergeron (Patrice) : Bonjour à vous. La question s'adresse à Dr Arruda. Chaque jour, vous faites état du nombre de cas confirmés de personnes infectées. Mais, compte tenu que le dépistage vise une clientèle plus particulière, que des gens peuvent attraper le virus sans le déclarer ou passer des tests où ils sont asymptomatiques, le chiffre officiel peut être sous-estimé. Quelle est votre estimation du nombre de cas réels au Québec? M. Arruda (Horacio) : Écoutez, c'est une bonne question que vous nous posez, là. C'est toujours difficile de faire des projections. C'est clair qu'on le sait, puis c'est la même affaire en grippe puis en influenza, les cas confirmés par laboratoire ou par lien épidémiologique ne sont jamais à la hauteur de la quantité de personnes parce que... Puis ça, on va le savoir, je vais vous dire, un peu plus tard est-ce qu'on va avoir 30 % de la population qui va être touchée, 40 %, 50 %, 60 %, certains scénarios disaient 70 %, là. Puis, moins on va en avoir, plus on a de chances d'avoir une deuxième vague. C'est difficile, pour moi, là, à ce stade-ci, puis ça va être plus facile quand on va être rendus, peut-être, au pic, de vous dire un petit peu l'estimation qu'on a par rapport à ça. Mais c'est clair que c'est une sous-estimation. C'est une sous-estimation partout parce que, un, il y a des personnes qui ont été asymptomatiques, qui ont guéri, qu'on ne comptera jamais, O.K.? Plus il va y en avoir, des gens comme ça, plus ça veut dire qu'il y a une immunité de masse, mieux ça va être pour la repénétration du virus, il va y en avoir moins. Mais je ne suis pas capable, à ce stade-ci, de vous dire : Pour chaque cas, il y en a 10 autres; pour chaque cas, il y en a quatre. On va regarder ça en fonction de notre épidémiologie qu'on a chez nous, là, parce qu'on pourrait regarder selon l'épidémiologie de l'Italie ou autre. Ce n'est pas les mêmes conditions parce que, n'oubliez pas non plus que, maintenant, on a mis des mesures très intenses. En mettant ces mesures-là, le taux d'infection par cas va en diminuant. Puis c'est ça que je pourrais vous dire, que le taux d'infection dans la population de Montréal est probablement plus grand que celui en Gaspésie, hein, parce qu'il n'y a pas eu de circulation. Ça fait que c'est... Il y a trop d'hypothèse pour que, scientifiquement, je me sente à l'aise de vous donner un chiffre actuellement.",2020-04-03,0.24,-0.00750684403315982,0
1,202004041,"202004041_295","C'est une bonne chose, au lieu de tousser... Bon, mais faites attention à l'accumulation. Si ça devient humide, si on manipule mal ça, qu'on l'enlève puis qu'on contamine plein de choses autour, c'est comme si on avait pris notre coude puis qu'on l'aurait frotté... Voyez-vous? C'est ces éléments-là. Et là la question de la... même le CDC... ils ont peut-être changé leur opinion, même le CDC reconnaissait que c'était une protection qui était de l'ordre peut-être de 30 % ou moins. Là, il faut comprendre aussi que ça va dépendre du tissu, comment qu'il est ajusté. Il y a plein de facteurs. Je ne suis pas en train de vous dire que c'est dangereux. Je vous dis juste que, pour les masques de procédure qu'on a, on veut les réserver pour ça. Puis on verra ce que les experts nous recommanderont, on va suivre ça de très, très près, et, comme je vous le dis, si ça va être ajouté pour les gens asymptomatiques. Puis, si jamais vous le portez, n'oubliez pas, le risque, qui est très important, c'est l'hygiène. Mais il ne faut pas avoir l'impression que le masque va nous protéger à tout prix. Le Modérateur : Je vais maintenant passer à Alex Boissonneault, de Radio-Canada. M. Boissonneault (Alex) : Bonjour. On se fie beaucoup au jugement des policiers en ce moment pour appliquer les directives, que ce soit sur le terrain pour l'interdiction des rassemblements ou que ce soit pour contrôler des déplacements aussi entre les régions. Or, de ce qu'on nous dit sur le terrain, c'est que ça suscite certaines inquiétudes, peut-être même des frustrations. Par exemple, j'en donne deux.",2020-04-04,0.176470588235294,-0.000803414298223987,0
1,202004081,"202004081_141","Est-ce qu'il y a des mesures spécifiques qui doivent s'appliquer dans ce CHSLD-là, précisément? Mme McCann : Oui, effectivement. Et je pense que Dr Arruda va parler d'enquêtes épidémiologiques qu'il va falloir faire, et je vais lui donner la parole tout de suite après, parce que c'est très important de voir qu'est-ce qui s'est passé au CHSLD Laval. Mais, maintenant, et même c'est commencé depuis le début, on a ajouté du personnel, on a ajouté 70 personnes au CHSLD Laval, des infirmières, des préposés aux bénéficiaires, des gestionnaires, alors il y a toute une équipe additionnelle qui est venue prêter main-forte au CHSLD Laval. Parce que c'est ça qu'il faut faire, comme je l'expliquais il y a quelques minutes, il faut ajouter du personnel pour pouvoir dédier des équipes dans chaque unité, et il ne faut pas non plus que les gens se promènent d'un établissement à l'autre. Et c'est ce qu'on fait actuellement au CHSLD Laval. Mais quant à la situation qui s'est passée, moi, je l'ai dit dans le passé, et c'est toujours la même consigne, les gens qui sont symptomatiques ne peuvent pas aller au travail. Alors, quand on est symptomatiques, on n'est pas au travail. M. Arruda (Horacio) : Bien, peut-être un peu pour documenter la situation, là, probablement, il faut comprendre qu'il y a aussi une notion qui est quand même assez récente, qui avait été donnée comme hypothèse, mais des personnes qui sont asymptomatiques qui peuvent avoir la maladie, il y aurait même des personnes âgées asymptomatiques qui auraient eu des tests et qui ont la maladie. Premièrement, ce que je tiens à vous dire, c'est clair qu'on va envoyer une équipe d'investigation, là, pour revoir tout ce qui est arrivé dans ce centre-là, voir quel est le premier cas, quels étaient les travailleurs de la santé qui étaient présents, faire ce qu'on appelle une vraie enquête épidémiologique pour tirer des leçons de cette histoire-là. Mais c'est sûr qu'en attendant d'avoir cette enquête-là terminée, les actions sont mises en place, là, les actions sont mises en place pour le gérer. Je veux quand même rapporter, et d'autres gériatres l'ont dit, ce n'est pas parce qu'on a été infecté, même à un certain âge, qu'on va nécessairement mourir de cette maladie-là, là. Il ne faut pas penser que toutes les personnes qui vont avoir été en CHSLD, infectées, avec un test, vont mourir. Souvent, les personnes qui décèdent, malheureusement, c'est des gens qui ont des conditions déjà sous-jacentes. Donc, est-ce que... Et ça, en testant tout le monde aussi dans les centres, ça va nous permettre de mieux estimer quel est le risque des gens et quelles sont les conditions qui vont faire que certaines personnes vont décéder ou pas. On sait que l'âge est un facteur important.",2020-04-08,0.176470588235294,-0.00681757929069167,0
