"ID","date","SPHM","SI","Evidence","Negative_sentiments","Uncertainty","TH","CC","CD","VAX","wave","TH100","VAX100","CC100","CD100"
1,2020-02-27,NA,NA,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
2,2020-02-28,NA,NA,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
3,2020-02-29,NA,NA,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
4,2020-03-01,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
5,2020-03-02,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
6,2020-03-03,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
7,2020-03-04,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
8,2020-03-05,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
9,2020-03-06,0,0,NA,NA,NA,0,1,0,NA,1,0,NA,0.00532623169107856,0
10,2020-03-07,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
11,2020-03-08,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
12,2020-03-09,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
13,2020-03-10,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,0
14,2020-03-11,0,0,NA,NA,NA,0,2,0,NA,1,0,NA,0.0106524633821571,0
15,2020-03-12,3.6,3.6,18.75,25,40.4868228183986,0,2,0,NA,1,0,NA,0.0106524633821571,0
16,2020-03-13,11.9,11.9,23.0769230769231,23.0769230769231,54.4977729200474,0,1,0,NA,1,0,NA,0.00532623169107856,0
17,2020-03-14,20.2,20.2,20,30,35.4817744342629,0,1,0,NA,1,0,NA,0.00532623169107856,0
18,2020-03-15,31.3,31.3,NA,NA,NA,2,2,0,NA,1,0.0583941605839416,NA,0.0106524633821571,0
19,2020-03-16,31.3,31.3,20,0,4.98844874394794,5,5,0,NA,1,0.145985401459854,NA,0.0266311584553928,0
20,2020-03-17,31.3,31.3,NA,NA,NA,6,4,1,NA,1,0.175182481751825,NA,0.0213049267643142,0.75187969924812
21,2020-03-18,31.3,31.3,5,5,42.8971585321671,7,8,1,NA,1,0.204379562043796,NA,0.0426098535286285,0.75187969924812
22,2020-03-19,31.3,31.3,29.4117647058824,29.4117647058824,16.0768076186533,10,48,0,NA,1,0.291970802919708,NA,0.255659121171771,0
