"doc_id","date","sentence_count","Arruda_sentence_count","Boileau_sentence_count","McCann_sentence_count","Guilbault_sentence_count","Legault_sentence_count","Dubé_sentence_count","Massé_sentence_count","Opatrny_sentence_count","Legault_uncertainty_count","Arruda_uncertainty_count","Dubé_uncertainty_count","Boileau_uncertainty_count","McCann_uncertainty_count","Guilbault_uncertainty_count","Opatrny_uncertainty_count","Massé_uncertainty_count","Legault_dictionary_strong_count","Arruda_dictionary_strong_count","Dubé_dictionary_strong_count","Boileau_dictionary_strong_count","McCann_dictionary_strong_count","Guilbault_dictionary_strong_count","Opatrny_dictionary_strong_count","Massé_dictionary_strong_count","Legault_uncertaintydictionary_per_sentence","Arruda_uncertaintydictionary_per_sentence","Dubé_uncertaintydictionary_per_sentence","Boileau_uncertaintydictionary_per_sentence","Guilbault_uncertaintydictionary_per_sentence","McCann_uncertaintydictionary_per_sentence","Opatrny_uncertaintydictionary_per_sentence","Massé_uncertaintydictionary_per_sentence","negative_polarity_dictionary_count","total_dictionary_count_2","Negative_sentiments","expertise_count","total_expertise_count","Evidence","ID","full_uncdict_sen","Uncertainty"
202003121,2020-03-12,459,223,0,20,0,89,0,0,0,19,53,0,0,4,0,0,0,4,7,0,0,1,0,0,0,0.210526315789474,0.132075471698113,NA,NA,NA,0.25,NA,NA,4,16,25,3,16,18.75,15,0.592601787487587,40.4868228183986
202003131,2020-03-13,415,166,0,37,0,85,0,0,0,14,51,0,0,8,0,0,0,4,13,0,0,2,0,0,0,0.285714285714286,0.254901960784314,NA,NA,NA,0.25,NA,NA,3,13,23.0769230769231,3,13,23.0769230769231,16,0.790616246498599,54.4977729200474
202003141,2020-03-14,542,127,0,53,0,192,0,0,0,38,23,0,0,9,0,0,0,9,4,0,0,1,0,0,0,0.236842105263158,0.173913043478261,NA,NA,NA,0.111111111111111,NA,NA,6,20,30,4,20,20,17,0.52186625985253,35.4817744342629
202003161,2020-03-16,360,0,0,0,0,163,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,0,10,0,2,10,20,19,0.0909090909090909,4.98844874394794
202003181,2020-03-18,439,189,0,43,0,143,0,0,0,25,50,0,0,12,0,0,0,6,11,0,0,2,0,0,0,0.24,0.22,NA,NA,NA,0.166666666666667,NA,NA,1,20,5,1,20,5,21,0.626666666666667,42.8971585321671
202003191,2020-03-19,341,145,0,23,0,111,0,0,0,14,30,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0.214285714285714,0.0333333333333333,NA,NA,NA,0,NA,NA,5,17,29.4117647058824,5,17,29.4117647058824,22,0.247619047619048,16.0768076186533
202003201,2020-03-20,476,171,0,57,0,130,0,0,0,23,29,0,0,9,0,0,0,5,3,0,0,1,0,0,0,0.217391304347826,0.103448275862069,NA,NA,NA,0.111111111111111,NA,NA,3,12,25,3,12,25,23,0.431950691321006,29.1195999226203
202003211,2020-03-21,413,185,0,48,0,123,0,0,0,18,36,0,0,5,0,0,0,2,4,0,0,0,0,0,0,0.111111111111111,0.111111111111111,NA,NA,NA,0,NA,NA,5,18,27.7777777777778,4,18,22.2222222222222,24,0.222222222222222,14.2797991822369
202003221,2020-03-22,531,207,0,0,0,169,0,0,0,34,36,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0.176470588235294,0.166666666666667,NA,NA,NA,NA,NA,NA,7,26,26.9230769230769,2,26,7.69230769230769,25,0.343137254901961,22.8354092012044
202003231,2020-03-23,420,166,0,39,0,149,0,0,0,25,28,0,0,9,0,0,0,3,6,0,0,0,0,0,0,0.12,0.214285714285714,NA,NA,NA,0,NA,NA,6,25,24,1,25,4,26,0.334285714285714,22.209098907924
